0 0 2.08333333
0 1 2.08333333
0 2 2.08333333
0 3 2.08333333
0 4 2.08333333
0 5 2.08333333
0 6 2.08333333
0 7 2.08333333
0 8 2.08333333
0 9 2.08333333
0 10 2.08333333
0 11 2.08333333
0 12 2.08333333
0 13 2.08333333
0 14 2.08333333
0 15 2.08333333
1 0 2.08333333
1 1 2.40384615
1 2 2.40384615
1 3 2.40384615
1 4 2.40384615
1 5 2.40384615
1 6 2.40384615
1 7 2.40384615
1 8 2.40384615
1 9 2.40384615
1 10 2.40384615
1 11 2.40384615
1 12 2.40384615
1 13 2.40384615
1 14 2.40384615
1 15 2.08333333
2 0 2.08333333
2 1 2.40384615
2 2 2.84090909
2 3 2.84090909
2 4 2.84090909
2 5 2.84090909
2 6 2.84090909
2 7 2.84090909
2 8 2.84090909
2 9 2.84090909
2 10 2.84090909
2 11 2.84090909
2 12 2.84090909
2 13 2.84090909
2 14 2.40384615
2 15 2.08333333
3 0 2.08333333
3 1 2.40384615
3 2 2.84090909
3 3 3.47222222
3 4 3.47222222
3 5 3.47222222
3 6 3.47222222
3 7 3.47222222
3 8 3.47222222
3 9 3.47222222
3 10 3.47222222
3 11 3.47222222
3 12 3.47222222
3 13 2.84090909
3 14 2.40384615
3 15 2.08333333
4 0 2.08333333
4 1 2.40384615
4 2 2.84090909
4 3 3.47222222
4 4 4.46428571
4 5 4.46428571
4 6 4.46428571
4 7 4.46428571
4 8 4.46428571
4 9 4.46428571
4 10 4.46428571
4 11 4.46428571
4 12 3.47222222
4 13 2.84090909
4 14 2.40384615
4 15 2.08333333
5 0 2.08333333
5 1 2.40384615
5 2 2.84090909
5 3 3.47222222
5 4 4.46428571
5 5 6.25
5 6 6.25
5 7 6.25
5 8 6.25
5 9 6.25
5 10 6.25
5 11 4.46428571
5 12 3.47222222
5 13 2.84090909
5 14 2.40384615
5 15 2.08333333
6 0 2.08333333
6 1 2.40384615
6 2 2.84090909
6 3 3.47222222
6 4 4.46428571
6 5 6.25
6 6 10.41666667
6 7 10.41666667
6 8 10.41666667
6 9 10.41666667
6 10 6.25
6 11 4.46428571
6 12 3.47222222
6 13 2.84090909
6 14 2.40384615
6 15 2.08333333
7 0 2.08333333
7 1 2.40384615
7 2 2.84090909
7 3 3.47222222
7 4 4.46428571
7 5 6.25
7 6 10.41666667
7 7 31.25
7 8 31.25
7 9 10.41666667
7 10 6.25
7 11 4.46428571
7 12 3.47222222
7 13 2.84090909
7 14 2.40384615
7 15 2.08333333
8 0 2.08333333
8 1 2.40384615
8 2 2.84090909
8 3 3.47222222
8 4 4.46428571
8 5 6.25
8 6 10.41666667
8 7 31.25
8 8 31.25
8 9 10.41666667
8 10 6.25
8 11 4.46428571
8 12 3.47222222
8 13 2.84090909
8 14 2.40384615
8 15 2.08333333
9 0 2.08333333
9 1 2.40384615
9 2 2.84090909
9 3 3.47222222
9 4 4.46428571
9 5 6.25
9 6 10.41666667
9 7 10.41666667
9 8 10.41666667
9 9 10.41666667
9 10 6.25
9 11 4.46428571
9 12 3.47222222
9 13 2.84090909
9 14 2.40384615
9 15 2.08333333
10 0 2.08333333
10 1 2.40384615
10 2 2.84090909
10 3 3.47222222
10 4 4.46428571
10 5 6.25
10 6 6.25
10 7 6.25
10 8 6.25
10 9 6.25
10 10 6.25
10 11 4.46428571
10 12 3.47222222
10 13 2.84090909
10 14 2.40384615
10 15 2.08333333
11 0 2.08333333
11 1 2.40384615
11 2 2.84090909
11 3 3.47222222
11 4 4.46428571
11 5 4.46428571
11 6 4.46428571
11 7 4.46428571
11 8 4.46428571
11 9 4.46428571
11 10 4.46428571
11 11 4.46428571
11 12 3.47222222
11 13 2.84090909
11 14 2.40384615
11 15 2.08333333
12 0 2.08333333
12 1 2.40384615
12 2 2.84090909
12 3 3.47222222
12 4 3.47222222
12 5 3.47222222
12 6 3.47222222
12 7 3.47222222
12 8 3.47222222
12 9 3.47222222
12 10 3.47222222
12 11 3.47222222
12 12 3.47222222
12 13 2.84090909
12 14 2.40384615
12 15 2.08333333
13 0 2.08333333
13 1 2.40384615
13 2 2.84090909
13 3 2.84090909
13 4 2.84090909
13 5 2.84090909
13 6 2.84090909
13 7 2.84090909
13 8 2.84090909
13 9 2.84090909
13 10 2.84090909
13 11 2.84090909
13 12 2.84090909
13 13 2.84090909
13 14 2.40384615
13 15 2.08333333
14 0 2.08333333
14 1 2.40384615
14 2 2.40384615
14 3 2.40384615
14 4 2.40384615
14 5 2.40384615
14 6 2.40384615
14 7 2.40384615
14 8 2.40384615
14 9 2.40384615
14 10 2.40384615
14 11 2.40384615
14 12 2.40384615
14 13 2.40384615
14 14 2.40384615
14 15 2.08333333
15 0 2.08333333
15 1 2.08333333
15 2 2.08333333
15 3 2.08333333
15 4 2.08333333
15 5 2.08333333
15 6 2.08333333
15 7 2.08333333
15 8 2.08333333
15 9 2.08333333
15 10 2.08333333
15 11 2.08333333
15 12 2.08333333
15 13 2.08333333
15 14 2.08333333
15 15 2.08333333
